step,layer,status,reason,before_channels,after_channels,removed_channels,taylor_cost,parameters,gmacs,step_gmac_saved,total_compute_reduction,score_per_gmac
1,model.1.conv,feasible,,64,56,8,0.35252590430900455,9455920,10.72656,0.0724992000000011,0.006713473707043005,4.862479921281879
1,model.2.cv2.conv,feasible,,128,120,8,0.26775179627293255,9448752,10.7200064,0.07905279999999948,0.0073203413867756195,3.3869995278210805
1,model.3.conv,feasible,,128,120,8,0.3316289447102463,9448496,10.7334208,0.06563840000000098,0.0060781591048229,5.052361799042044
1,model.4.cv2.conv,feasible,,256,248,8,0.23322998748335522,9437744,10.7530816,0.04597760000000051,0.0042575560656247236,5.072687297365514
1,model.4.m.0.cv2.conv,rejected,ValueError: protect_CSP_chunk_width:model.4.cv1.conv,,,,,,,,,
1,model.5.conv,feasible,,256,248,8,0.2536716407194035,9438256,10.7662656,0.032793599999999756,0.0030367089755374277,7.735400831851502
1,model.6.cv2.conv,feasible,,256,248,8,0.1526780080894241,9416752,10.776096,0.022963199999999517,0.002126407455938284,6.648812364540976
1,model.6.m.0.cv1.conv,feasible,,64,56,8,0.09312191219214583,9438224,10.7662144,0.03284479999999945,0.0030414501292852503,2.8352102065516425
1,model.6.m.0.cv2.conv,feasible,,64,56,8,0.04482214920062688,9456688,10.7957568,0.003302400000000816,0.00030580441674032954,13.572598474023682
1,model.6.m.0.cv3.conv,rejected,ValueError: protect_CSP_chunk_width:model.6.cv1.conv,,,,,,,,,
1,model.6.m.0.m.0.cv1.conv,feasible,,64,56,8,0.22967953974148259,9449520,10.784288,0.014771200000000206,0.0013678228562725714,15.549145617247033
1,model.6.m.0.m.0.cv2.conv,feasible,,64,56,8,0.1543513210126548,9438224,10.7662144,0.03284479999999945,0.0030414501292852503,4.699414245562688
1,model.6.m.0.m.1.cv1.conv,feasible,,64,56,8,0.24963759469392244,9449520,10.784288,0.014771200000000206,0.0013678228562725714,16.90029210178719
1,model.6.m.0.m.1.cv2.conv,feasible,,64,56,8,0.18188133960939012,9438224,10.7662144,0.03284479999999945,0.0030414501292852503,5.5375992427840375
1,model.7.conv,feasible,,512,504,8,0.11021360519225709,9436208,10.7900416,0.009017599999999959,0.000835035703850906,12.22205522447853
1,model.8.cv2.conv,feasible,,512,504,8,0.07960463270865148,9450544,10.795776,0.0032832000000002637,0.0003040264840848961,24.24605041077153
1,model.8.m.0.cv1.conv,feasible,,128,120,8,0.04265329105692217,9417744,10.782656,0.01640320000000095,0.0015189471319873027,2.600303054094305
1,model.8.m.0.cv2.conv,feasible,,128,120,8,0.015580691699142335,9454640,10.7974144,0.001644800000001112,0.00015230956415179797,9.472696801514957
1,model.8.m.0.cv3.conv,rejected,ValueError: protect_CSP_chunk_width:model.8.cv1.conv,,,,,,,,,
1,model.8.m.0.m.0.cv1.conv,feasible,,128,120,8,0.05898893894845969,9440304,10.79168,0.007379200000000807,0.0006833187839178079,7.993947710924387
