epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,train/kd_p3,train/kd_p4,train/kd_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_loss,val/kd_p3,val/kd_p4,val/kd_p5,lr/pg0,lr/pg1,lr/pg2
1,480.211,1.31062,1.64581,1.33101,0.46594,0.23535,0.53947,0.54948,0.14427,0.05996,0.01778,0.00895,2.33395,6.1915,2.89348,0,0,0,0,0.00099888,0.00099888,0.00101008
2,952.357,1.32896,1.74546,1.35572,0.31364,0.0951,0.38365,0.39217,0.3325,0.22372,0.17819,0.10674,1.61695,2.58652,1.61056,0,0,0,0,0.000955,0.000955,0.000955
3,1426.43,1.25631,1.56313,1.30223,0.29262,0.08872,0.35922,0.36333,0.44588,0.32724,0.31667,0.20206,1.36676,1.87389,1.3617,0,0,0,0,0.00091,0.00091,0.00091
4,1900.95,1.21602,1.46617,1.27133,0.28241,0.0863,0.34692,0.34949,0.5332,0.37443,0.38543,0.2565,1.27992,1.6335,1.28181,0,0,0,0,0.000865,0.000865,0.000865
5,2375.2,1.19162,1.40195,1.25102,0.27556,0.08497,0.33881,0.33963,0.52477,0.39829,0.41361,0.27968,1.24856,1.55184,1.25482,0,0,0,0,0.00082,0.00082,0.00082
6,2849.37,1.17012,1.34925,1.23494,0.27013,0.08375,0.33244,0.33187,0.57064,0.42952,0.46597,0.32339,1.18821,1.38479,1.21518,0,0,0,0,0.000775,0.000775,0.000775
7,3323.23,1.15063,1.30695,1.22221,0.26567,0.08284,0.32716,0.3255,0.58184,0.47498,0.50469,0.35457,1.13953,1.2883,1.18362,0,0,0,0,0.00073,0.00073,0.00073
8,3797.1,1.13529,1.27294,1.21193,0.26221,0.08211,0.3232,0.32034,0.64766,0.48157,0.53776,0.37887,1.1204,1.19849,1.16354,0,0,0,0,0.000685,0.000685,0.000685
9,4270.14,1.12276,1.24117,1.20101,0.25902,0.08147,0.31938,0.31584,0.65377,0.48936,0.54935,0.38957,1.11288,1.16382,1.15287,0,0,0,0,0.00064,0.00064,0.00064
10,4744.45,1.11013,1.21328,1.19221,0.25611,0.08087,0.31578,0.31199,0.66143,0.52647,0.57113,0.40616,1.09349,1.12324,1.14058,0,0,0,0,0.000595,0.000595,0.000595
11,5217.66,1.09807,1.12221,1.16226,0.24449,0.076,0.30291,0.29615,0.68071,0.52274,0.58088,0.41766,1.0759,1.09486,1.1292,0,0,0,0,0.00055,0.00055,0.00055
12,5688.41,1.08578,1.09367,1.15308,0.24114,0.07527,0.29887,0.29155,0.68493,0.53341,0.59153,0.4279,1.06072,1.06858,1.11824,0,0,0,0,0.000505,0.000505,0.000505
13,6159.69,1.07365,1.06585,1.14371,0.23918,0.07478,0.29639,0.28915,0.68062,0.55148,0.59706,0.43101,1.05804,1.05409,1.11778,0,0,0,0,0.00046,0.00046,0.00046
14,6629.97,1.06353,1.04081,1.1373,0.23697,0.07433,0.29376,0.28605,0.70547,0.5347,0.60072,0.43604,1.05404,1.03849,1.11072,0,0,0,0,0.000415,0.000415,0.000415
15,7101.99,1.05233,1.01676,1.1286,0.23523,0.07396,0.29167,0.28362,0.69923,0.54629,0.60574,0.43944,1.04931,1.0274,1.10933,0,0,0,0,0.00037,0.00037,0.00037
16,7573.1,1.04175,0.99292,1.12162,0.23375,0.07362,0.28984,0.28169,0.68897,0.55353,0.6089,0.44097,1.04487,1.01782,1.10639,0,0,0,0,0.000325,0.000325,0.000325
17,8043.6,1.0317,0.9715,1.11566,0.2321,0.07324,0.2878,0.27955,0.69099,0.55672,0.61011,0.44267,1.04153,1.0133,1.10517,0,0,0,0,0.00028,0.00028,0.00028
18,8514.3,1.02245,0.94985,1.10943,0.23073,0.07295,0.28617,0.27762,0.69895,0.55386,0.61189,0.44484,1.04048,1.01145,1.10422,0,0,0,0,0.000235,0.000235,0.000235
19,8985.48,1.01272,0.932,1.10268,0.2295,0.0727,0.28466,0.27599,0.68555,0.55927,0.61234,0.44601,1.04,1.01039,1.10363,0,0,0,0,0.00019,0.00019,0.00019
20,9460.43,1.00385,0.91242,1.09724,0.22804,0.07242,0.28292,0.27389,0.68659,0.56027,0.61373,0.44643,1.03887,1.00873,1.1026,0,0,0,0,0.000145,0.000145,0.000145
