epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.903,1.24658,1.53806,1.28594,0.21897,0.04366,0.01789,0.00859,2.1454,10.6572,2.3685,0.00099888,0.00099888,0.00101008
2,535.529,1.31188,1.70945,1.33672,0.37271,0.23311,0.19975,0.12044,1.57351,2.68771,1.53575,0.000955,0.000955,0.000955
3,794.423,1.23998,1.53514,1.28594,0.47371,0.27707,0.27871,0.17236,1.4019,2.02254,1.37718,0.00091,0.00091,0.00091
4,1055.27,1.19981,1.43706,1.25578,0.53574,0.39741,0.42034,0.28005,1.25003,1.54087,1.24873,0.000865,0.000865,0.000865
5,1314.14,1.17442,1.37231,1.23508,0.56898,0.40009,0.42889,0.29035,1.22347,1.48965,1.23152,0.00082,0.00082,0.00082
6,1571.72,1.15333,1.31961,1.2189,0.6005,0.44175,0.4823,0.33733,1.15481,1.32937,1.18346,0.000775,0.000775,0.000775
7,1830.82,1.13415,1.27969,1.20577,0.6091,0.4672,0.50787,0.35603,1.13871,1.27757,1.17468,0.00073,0.00073,0.00073
8,2090.73,1.11977,1.24821,1.19621,0.62537,0.49004,0.53307,0.37904,1.10949,1.1982,1.14972,0.000685,0.000685,0.000685
9,2348.93,1.10653,1.21253,1.18576,0.66913,0.5058,0.56667,0.40189,1.08839,1.14072,1.13103,0.00064,0.00064,0.00064
10,2606.96,1.094,1.18757,1.17742,0.65489,0.52913,0.57845,0.41668,1.07412,1.10825,1.12357,0.000595,0.000595,0.000595
11,2870.13,1.08168,1.09858,1.1459,0.67028,0.53407,0.58943,0.42611,1.05916,1.08263,1.11014,0.00055,0.00055,0.00055
12,3130.62,1.06748,1.06986,1.13715,0.69401,0.54195,0.60015,0.43668,1.04806,1.04871,1.10466,0.000505,0.000505,0.000505
13,3391.97,1.05556,1.04246,1.12767,0.67609,0.55708,0.60803,0.44274,1.04052,1.02871,1.09958,0.00046,0.00046,0.00046
14,3651.64,1.04567,1.01674,1.12091,0.68642,0.55418,0.61361,0.44588,1.03473,1.01606,1.09481,0.000415,0.000415,0.000415
15,3911.08,1.03471,0.99301,1.11365,0.71461,0.54688,0.61593,0.44904,1.03215,1.00813,1.09195,0.00037,0.00037,0.00037
16,4171.3,1.02334,0.97001,1.10591,0.70021,0.55013,0.61727,0.45098,1.02868,1.00029,1.09111,0.000325,0.000325,0.000325
17,4430.68,1.01459,0.94881,1.09943,0.6909,0.55721,0.61744,0.45086,1.02643,0.99536,1.08872,0.00028,0.00028,0.00028
18,4688.99,1.0046,0.92737,1.09301,0.68817,0.55857,0.61947,0.45223,1.02476,0.99236,1.08772,0.000235,0.000235,0.000235
19,4947.93,0.99529,0.90809,1.08726,0.69415,0.55682,0.62192,0.45279,1.0238,0.98996,1.08716,0.00019,0.00019,0.00019
20,5207.33,0.98578,0.88841,1.08053,0.69494,0.55661,0.62396,0.45384,1.02288,0.9896,1.08639,0.000145,0.000145,0.000145
