epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,train/kd_p3,train/kd_p4,train/kd_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/kd_loss,val/kd_p3,val/kd_p4,val/kd_p5,lr/pg0,lr/pg1,lr/pg2
1,385.317,1.24554,1.53502,1.28444,0.36361,0.23425,0.39037,0.43947,0.15867,0.0321,0.01187,0.00693,2.3642,5.31514,2.81838,0,0,0,0,0.00099888,0.00099888,0.00101008
2,763.521,1.30543,1.69812,1.33046,0.19525,0.06752,0.21452,0.28444,0.36151,0.24796,0.20871,0.12805,1.53758,2.46459,1.5196,0,0,0,0,0.000955,0.000955,0.000955
3,1142.82,1.23328,1.52103,1.27883,0.16869,0.05505,0.18387,0.25196,0.50016,0.34412,0.35574,0.23223,1.32435,1.74351,1.31646,0,0,0,0,0.00091,0.00091,0.00091
4,1521.48,1.19295,1.42385,1.24866,0.15585,0.05025,0.16906,0.23502,0.55325,0.39407,0.41199,0.27459,1.24799,1.55951,1.24777,0,0,0,0,0.000865,0.000865,0.000865
5,1899.06,1.1675,1.36039,1.22791,0.14703,0.04712,0.15905,0.22292,0.52952,0.42976,0.43915,0.29995,1.21138,1.45534,1.22515,0,0,0,0,0.00082,0.00082,0.00082
6,2275.89,1.14771,1.31096,1.21396,0.14094,0.04504,0.15188,0.21497,0.59853,0.44723,0.48534,0.34006,1.15699,1.33301,1.18872,0,0,0,0,0.000775,0.000775,0.000775
7,2652.36,1.1289,1.27039,1.19965,0.1351,0.043,0.14499,0.20741,0.60141,0.48494,0.51966,0.36674,1.12818,1.25354,1.16425,0,0,0,0,0.00073,0.00073,0.00073
8,3029.77,1.11323,1.23539,1.18911,0.13019,0.04127,0.13939,0.20071,0.64953,0.49812,0.5518,0.39069,1.09964,1.17635,1.13998,0,0,0,0,0.000685,0.000685,0.000685
9,3407.17,1.10063,1.20421,1.17919,0.12602,0.03984,0.13462,0.19502,0.6454,0.51749,0.5648,0.404,1.08245,1.13299,1.12714,0,0,0,0,0.00064,0.00064,0.00064
10,3784.84,1.08749,1.17658,1.17093,0.12188,0.03842,0.12993,0.18923,0.67548,0.5239,0.58521,0.42301,1.06108,1.08298,1.11239,0,0,0,0,0.000595,0.000595,0.000595
11,4161.56,1.07537,1.08946,1.13913,0.11254,0.03547,0.11991,0.17486,0.67536,0.53555,0.59318,0.42908,1.04954,1.06241,1.10734,0,0,0,0,0.00055,0.00055,0.00055
12,4533.89,1.06303,1.061,1.13152,0.10898,0.03424,0.11614,0.16939,0.68173,0.53774,0.59681,0.4347,1.04319,1.04195,1.10185,0,0,0,0,0.000505,0.000505,0.000505
13,4905.86,1.05068,1.03406,1.1227,0.10592,0.03322,0.11252,0.16542,0.68004,0.55464,0.60548,0.44034,1.03713,1.02502,1.09511,0,0,0,0,0.00046,0.00046,0.00046
14,5278.73,1.04072,1.00806,1.11522,0.10333,0.03227,0.10968,0.16168,0.67416,0.56225,0.60929,0.44413,1.03139,1.01322,1.09218,0,0,0,0,0.000415,0.000415,0.000415
15,5651.09,1.0296,0.98635,1.10814,0.10082,0.03135,0.10677,0.15841,0.67392,0.57119,0.61496,0.44792,1.02657,1.00314,1.08825,0,0,0,0,0.00037,0.00037,0.00037
16,6023.53,1.01878,0.96224,1.10102,0.09849,0.03057,0.1041,0.15518,0.683,0.56902,0.61926,0.45012,1.02591,0.99611,1.08875,0,0,0,0,0.000325,0.000325,0.000325
17,6396.78,1.00863,0.94051,1.0941,0.09614,0.02976,0.10145,0.15191,0.68926,0.56627,0.61904,0.45079,1.02476,0.99189,1.08838,0,0,0,0,0.00028,0.00028,0.00028
18,6768.74,1.00026,0.92083,1.08782,0.0945,0.02919,0.09955,0.1497,0.69274,0.56472,0.62026,0.45173,1.02234,0.98798,1.08552,0,0,0,0,0.000235,0.000235,0.000235
19,7140.83,0.99131,0.90128,1.08201,0.09251,0.02855,0.0973,0.14688,0.69231,0.5682,0.62189,0.45313,1.02052,0.98426,1.08368,0,0,0,0,0.00019,0.00019,0.00019
20,7513.87,0.98172,0.88148,1.07588,0.09079,0.02796,0.09536,0.1445,0.68445,0.57391,0.62225,0.45365,1.02007,0.98241,1.08317,0,0,0,0,0.000145,0.000145,0.000145
