epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dino_loss,train/dino_p3,train/dino_p4,train/dino_p5,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dino_loss,val/dino_p3,val/dino_p4,val/dino_p5,lr/pg0,lr/pg1,lr/pg2
1,557.974,1.31227,1.64854,1.33285,0.55786,0.5901,0.53853,0.56428,0.2453,0.04482,0.01391,0.00649,2.41529,6.68758,2.71731,0,0,0,0,0.00099888,0.00099888,0.00101008
2,1106.21,1.33393,1.74752,1.35687,0.33366,0.3313,0.31253,0.37827,0.36251,0.20968,0.1841,0.10701,1.61228,2.52569,1.58208,0,0,0,0,0.000955,0.000955,0.000955
3,1656.05,1.26157,1.56958,1.30465,0.26679,0.2401,0.24085,0.34535,0.51335,0.33231,0.34448,0.22791,1.34732,1.7793,1.34433,0,0,0,0,0.00091,0.00091,0.00091
4,2205.45,1.2223,1.47483,1.27424,0.23574,0.19437,0.2087,0.33119,0.52412,0.36582,0.37656,0.2511,1.29138,1.6286,1.2919,0,0,0,0,0.000865,0.000865,0.000865
5,2754.29,1.19715,1.40672,1.25372,0.21895,0.17103,0.19149,0.3218,0.55166,0.39841,0.42654,0.29061,1.23956,1.52474,1.24754,0,0,0,0,0.00082,0.00082,0.00082
6,3301.87,1.17525,1.35491,1.23715,0.20834,0.15635,0.18099,0.31505,0.57059,0.42101,0.45391,0.31255,1.21396,1.41188,1.23265,0,0,0,0,0.000775,0.000775,0.000775
7,3850.41,1.15598,1.31459,1.22417,0.20073,0.14539,0.1739,0.30971,0.5795,0.47605,0.51044,0.35412,1.15385,1.28674,1.19071,0,0,0,0,0.00073,0.00073,0.00073
8,4398.33,1.14058,1.27821,1.21214,0.19461,0.13604,0.16861,0.30517,0.6039,0.48186,0.52146,0.36547,1.14343,1.24805,1.17627,0,0,0,0,0.000685,0.000685,0.000685
9,4946.03,1.12898,1.24589,1.20279,0.18978,0.1282,0.1647,0.30149,0.62979,0.50251,0.54673,0.38791,1.10979,1.18877,1.14951,0,0,0,0,0.00064,0.00064,0.00064
10,5494.68,1.11487,1.21862,1.19368,0.18576,0.12197,0.16144,0.29819,0.66427,0.5127,0.5676,0.40418,1.09369,1.1281,1.14176,0,0,0,0,0.000595,0.000595,0.000595
11,6043.83,1.10217,1.12779,1.16376,0.16781,0.10568,0.14504,0.27547,0.66992,0.52013,0.58016,0.41621,1.07674,1.09472,1.13142,0,0,0,0,0.00055,0.00055,0.00055
12,6589.15,1.09012,1.09802,1.15512,0.16541,0.10258,0.1436,0.27186,0.66059,0.5383,0.58854,0.4236,1.06733,1.07189,1.12304,0,0,0,0,0.000505,0.000505,0.000505
13,7133.64,1.07826,1.0719,1.14534,0.16357,0.10017,0.14214,0.26982,0.6844,0.53631,0.59357,0.42847,1.05982,1.05544,1.11618,0,0,0,0,0.00046,0.00046,0.00046
14,7679.17,1.0674,1.04415,1.13813,0.16182,0.09768,0.14075,0.26809,0.69679,0.54113,0.60222,0.4353,1.05412,1.04299,1.11142,0,0,0,0,0.000415,0.000415,0.000415
15,8224.35,1.05707,1.02291,1.13015,0.16034,0.09568,0.13962,0.26645,0.67773,0.56214,0.60908,0.43987,1.05084,1.02996,1.10734,0,0,0,0,0.00037,0.00037,0.00037
16,8768.53,1.04525,0.99699,1.12296,0.1591,0.09395,0.13862,0.26522,0.67015,0.56281,0.60811,0.44154,1.04781,1.02113,1.10567,0,0,0,0,0.000325,0.000325,0.000325
17,9313.94,1.03543,0.97588,1.11594,0.15761,0.09222,0.13735,0.2635,0.67764,0.56398,0.61102,0.44288,1.04503,1.01662,1.10401,0,0,0,0,0.00028,0.00028,0.00028
18,9858.85,1.02547,0.95557,1.10958,0.15667,0.09078,0.13656,0.26276,0.68255,0.5651,0.61439,0.44499,1.04249,1.01146,1.10257,0,0,0,0,0.000235,0.000235,0.000235
19,10403.1,1.01658,0.93649,1.10341,0.15581,0.08971,0.13578,0.26198,0.68537,0.56146,0.61487,0.44639,1.04113,1.00927,1.10131,0,0,0,0,0.00019,0.00019,0.00019
20,10948.5,1.00792,0.91664,1.09734,0.15474,0.08826,0.13488,0.26093,0.68913,0.56293,0.61586,0.44683,1.04049,1.00748,1.10118,0,0,0,0,0.000145,0.000145,0.000145
